url,domain,target_brand_domain,critical_sector_entity_name,source_label,source_file,source_row,having_ip,have_at_symbol,url_length,url_depth,redirection,http_domain,tiny_url,prefix_suffix,digit_count,special_char_count,entropy,lexical_similarity_score,min_edit_distance_to_brand_domain,homoglyph_similarity_score,brand_token_in_subdomain,brand_token_in_path,brand_not_in_registered_domain,subdomain_depth,matched_brand_domain,registered_domain,dns_check_pass,dns_resolves_to_ip,resolved_ips,cname_exists,cname_chain_length,nameserver_reputation_score,passive_dns_first_seen_days,domain_age_days,domain_expiry_days,registrar_reputation_score,asn_reputation_score,ip_seen_with_many_brands,https_enabled,ssl_valid,cert_age_days,ct_log_first_seen_days,url_fetch_success,page_fetch_success,redirect_count,redirect_cross_domain_count,page_render_success,has_login_form,has_password_input,form_action_external,brand_token_or_logo_present,logo_detected,logo_brand_matches_target_brand,logo_brand_domain_mismatch,visual_brand_domain_mismatch,favicon_hash,favicon_similarity_score,logo_hash,logo_similarity_score,html_dom_hash,html_dom_similarity_score,same_html_hash_domain_count_7d,fetch_status_code,fetch_error,dns_error,tls_error,dns_status,http_status,tls_status,page_status,nameservers,registrant_name,registrar_name,hosting_isp,hosting_country,registrant_country,rdap_status,whois_status,extraction_status,high_lexical_similarity,no_login_form,no_brand_visual_claim,suspected_inactive,suspected_active_infra,suspected_active_no_phish_evidence,phishing,phishing_campaign,validation_status,validation_reason,label_conflict,include_in_ml,label
http://airlndia.com,airlndia.com,airindia.com,Air India,unlabeled,main_detector_targets,0,0,0,19,0,0,0,0,0,0,0,3.8268748818646383,0.916667,0,0.916667,0,0,0,0,airindia.com,airlndia.com,1,1,34.111.46.214,0,0,6,-1,306,59,4,-1,0,1,0,-1,-1,1,1,1,1,1,1,0,1,0,0,0,0,0,,0.0,,0.0,d6651e40ec1d53eb,0.0,2,200,,,SSLEOFError,success,success,invalid,success,ns1.adtraks.com;ns2.adtraks.com,,Dynadot Inc,,,,success,skipped,partial,1,0,1,0,0,0,0,0,suspected_unconfirmed,high lexical similarity but insufficient phishing evidence,0,1,0
http://airlndiaexpress.com,airlndiaexpress.com,airindia.com,Air India,unlabeled,main_detector_targets,0,0,0,26,0,0,0,0,0,0,0,4.085055102756478,0.947368,0,0.947368,0,0,0,0,airindiaexpress.com,airlndiaexpress.com,1,1,199.15.163.139,0,0,6,-1,318,47,6,6,0,0,0,-1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,b333cc9999268b99,0.3125,,0.0,cebc26b7bcda93bb,0.4844,2,200,,,ConnectionRefusedError,success,success,error,success,dns1.parastorage.com;dns2.parastorage.com,,Wix.com Ltd.,"Wix.Com, Inc.",,,success,skipped,partial,1,1,1,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,0,1,0
http://airindlaexpress.com,airindlaexpress.com,airindia.com,Air India,unlabeled,main_detector_targets,0,0,0,26,0,0,0,0,0,0,0,4.085055102756478,0.947368,0,0.947368,0,0,0,0,airindiaexpress.com,airindlaexpress.com,1,1,199.15.163.139,0,0,6,-1,231,134,6,6,0,0,0,-1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,b333cc9999268b99,0.3125,,0.0,cebc26b7bcda93bb,0.4844,2,200,,,ConnectionRefusedError,success,success,error,success,dns1.parastorage.com;dns2.parastorage.com,,Wix.com Ltd.,"Wix.Com, Inc.",,,success,skipped,partial,1,1,1,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,0,1,0
http://bseindla.com,bseindla.com,bseindia.com,BSE Ltd.,unlabeled,main_detector_targets,0,0,0,19,0,0,0,0,0,0,0,4.037401197654112,0.916667,0,0.916667,0,0,0,0,bseindia.com,bseindla.com,1,1,15.197.148.33,0,0,6,-1,164,201,8,8,1,1,0,-1,-1,0,0,1,1,0,1,0,1,0,0,0,0,0,86663b99e46c9366,0.3438,,0.0,b6f9c60caf6613b5,0.4062,1,403,,,SSLCertVerificationError,success,http_403,invalid,success,ns65.domaincontrol.com;ns66.domaincontrol.com,,"GoDaddy.com, LLC",Amazon Technologies Inc.,,,success,skipped,partial,1,0,1,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,0,1,0
http://icicidirect-secure.com,icicidirect-secure.com,icici.bank.in,ICICI Bank,unlabeled,main_detector_targets,0,0,0,29,0,0,0,0,1,0,1,3.715932185515029,0.85,0,0.85,0,0,0,0,icici.bank.in,icicidirect-secure.com,1,1,172.67.196.175,0,0,8,-1,235,130,8,8,0,1,1,29,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,0ee91055d90e5517,0.6406,1,404,,,,success,http_404,success,success,heather.ns.cloudflare.com;trace.ns.cloudflare.com,,"GoDaddy.com, LLC","Cloudflare, Inc.",,,success,skipped,partial,1,1,1,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,0,1,0
http://icicidirect-auth.com,icicidirect-auth.com,icici.bank.in,ICICI Bank,unlabeled,main_detector_targets,0,0,0,27,0,0,0,0,1,0,1,3.7178504651264315,0.857143,0,0.857143,0,0,0,0,icicidirect.com,icicidirect-auth.com,1,1,27.124.125.173,0,0,6,-1,418,312,6,6,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,0,0,ServerDisconnectedError,,SSLCertVerificationError,success,error,invalid,empty,ns1.secureparkme.com;ns2.secureparkme.com,,Dreamscape Networks International Pte Ltd,IRT-DREAMSCAPE-AU,,,success,skipped,partial,1,1,1,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,0,1,0
http://lcicilombard.com,lcicilombard.com,icici.bank.in,ICICI Bank,unlabeled,main_detector_targets,0,0,0,23,0,0,0,0,0,0,0,3.795088586397732,0.9375,1,0.9375,0,0,1,0,icicilombard.com,lcicilombard.com,1,1,2.57.91.92,0,0,6,-1,392,338,6,4,0,1,0,-1,-1,1,1,0,0,1,1,0,0,0,1,0,0,0,,0.0,,0.0,8a9c29958c9783dd,0.5938,1,200,,,SSLError,success,success,invalid,success,ns1.dns-expired.com;ns2.dns-expired.com,,"HOSTINGER operations, UAB",Hostinger NOC,,,success,skipped,partial,1,0,1,0,0,0,0,0,suspected_unconfirmed,high lexical similarity but insufficient phishing evidence,0,1,0
http://lciciprulife.com,lciciprulife.com,icici.bank.in,ICICI Bank,unlabeled,main_detector_targets,0,0,0,23,0,0,0,0,0,0,0,3.7622673906514943,0.9375,1,0.9375,0,0,1,0,iciciprulife.com,lciciprulife.com,1,1,2.57.91.91,0,0,4,-1,147,218,6,4,0,1,1,64,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,,0.0,,0.0,62d827012f87b261,0.6406,1,200,,,,success,success,success,success,ns1.dns-parking.com;ns2.dns-parking.com,,"HOSTINGER operations, UAB",Hostinger NOC,,,success,skipped,complete,1,1,1,0,0,1,0,0,suspected_active_no_phish_evidence,active page without login form or brand visual claim,0,1,0
http://1cicibank.com,1cicibank.com,icici.bank.in,ICICI Bank,unlabeled,main_detector_targets,0,0,0,20,0,0,0,0,0,1,0,3.784183719779189,0.923077,1,0.923077,0,0,1,0,infiniti.icicibank.com,1cicibank.com,1,1,69.64.147.244,0,0,6,-1,7979,56,6,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,0,0,TimeoutError,,TimeoutError,success,error,error,empty,ns.pugmarks.com;ns1.pugmarks.com,,PDR Ltd. d/b/a PublicDomainRegistry.com,,,,success,skipped,partial,1,1,1,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,0,1,0
http://ic1cibank.com,ic1cibank.com,icici.bank.in,ICICI Bank,unlabeled,main_detector_targets,0,0,0,20,0,0,0,0,0,1,0,3.784183719779189,0.923077,1,0.923077,0,0,1,0,infiniti.icicibank.com,ic1cibank.com,1,1,69.64.147.244,0,0,6,-1,7979,56,6,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,0,0,TimeoutError,,TimeoutError,success,error,error,empty,ns.pugmarks.com;ns1.pugmarks.com,,PDR Ltd. d/b/a PublicDomainRegistry.com,,,,success,skipped,partial,1,1,1,0,1,0,0,0,suspected_active_infra,DNS active but page fetch failed,0,1,0
